timestamp,src_ip,user_agent,http_method,endpoint,status_code,response_bytes,request_duration_ms,geo_location,label
2023-11-15 00:01:07.000,129.153.198.180,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_10_4; rv:1.9.3.20) Gecko/4425-08-30 06:13:15 Firefox/7.0,POST,/login,200,2414,242,LY,Normal
2023-11-15 00:02:09.000,130.199.228.88,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/17.0.805.0 Safari/536.1",POST,/login,200,1856,704,SV,Normal
2023-11-15 00:05:55.000,120.146.59.122,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/8343-05-25 15:21:43 Firefox/3.6.8,POST,/login,403,2452,617,SE,Normal
2023-11-15 00:06:18.000,17.129.250.50,"Mozilla/5.0 (Windows NT 5.2) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/13.0.887.0 Safari/531.0",POST,/login,200,4372,658,SD,Normal
2023-11-15 00:10:02.000,217.140.220.21,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_8; rv:1.9.3.20) Gecko/3726-02-09 07:24:55 Firefox/3.6.5,POST,/login,200,4815,106,OM,Normal
2023-11-15 00:11:33.000,222.114.147.17,"Mozilla/5.0 (Windows 95) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/17.0.890.0 Safari/531.0",POST,/login,200,2136,320,RS,Normal
2023-11-15 00:14:35.000,207.200.7.191,Mozilla/5.0 (Android 2.1; Mobile; rv:6.0) Gecko/6.0 Firefox/6.0,POST,/login,200,2970,452,RU,Normal
2023-11-15 00:17:00.000,28.213.82.112,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2 like Mac OS X) AppleWebKit/531.0 (KHTML, like Gecko) CriOS/16.0.806.0 Mobile/60J647 Safari/531.0",POST,/login,200,3696,227,QA,Normal
2023-11-15 00:20:23.000,10.132.216.46,"Mozilla/5.0 (iPad; CPU iPad OS 5_1_1 like Mac OS X) AppleWebKit/532.1 (KHTML, like Gecko) FxiOS/10.9q1699.0 Mobile/19B399 Safari/532.1",POST,/login,200,4074,733,GH,Normal
2023-11-15 00:23:38.000,10.30.138.198,"Mozilla/5.0 (Windows NT 5.2) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/13.0.885.0 Safari/533.0",POST,/login,200,1687,777,VC,Normal
2023-11-15 00:25:44.000,48.229.28.185,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/535.1 (KHTML, like Gecko) CriOS/15.0.847.0 Mobile/40B164 Safari/535.1",POST,/login,200,2453,203,TG,Normal
2023-11-15 00:29:08.000,106.10.4.80,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/4602-08-20 10:43:42 Firefox/9.0,POST,/login,200,2994,266,AR,Normal
2023-11-15 00:32:27.000,153.128.119.116,"Mozilla/5.0 (iPad; CPU iPad OS 4_2_1 like Mac OS X) AppleWebKit/535.1 (KHTML, like Gecko) FxiOS/14.9n4019.0 Mobile/85F014 Safari/535.1",POST,/login,200,4374,799,KW,Normal
2023-11-15 00:33:13.000,135.249.220.117,"Mozilla/5.0 (iPad; CPU iPad OS 13_5_1 like Mac OS X) AppleWebKit/536.1 (KHTML, like Gecko) CriOS/26.0.855.0 Mobile/84W656 Safari/536.1",POST,/login,200,4486,350,UZ,Normal
2023-11-15 00:34:46.000,157.194.93.210,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/9875-11-07 04:04:05 Firefox/3.8,POST,/login,200,4121,670,MC,Normal
2023-11-15 00:36:48.000,8.205.177.202,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_5_7 like Mac OS X) AppleWebKit/535.0 (KHTML, like Gecko) CriOS/62.0.899.0 Mobile/17R278 Safari/535.0",POST,/login,200,4678,157,RU,Normal
2023-11-15 00:38:55.000,145.147.1.43,"Mozilla/5.0 (Linux; Android 4.4.1) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/47.0.859.0 Safari/534.0",POST,/login,200,3143,374,TV,Normal
2023-11-15 00:39:38.000,200.20.0.47,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/5132-07-22 20:58:24 Firefox/3.8,POST,/login,200,4440,422,BE,Normal
2023-11-15 00:41:36.000,122.158.107.19,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/47.0.806.0 Safari/532.1",POST,/login,200,4133,569,GY,Normal
2023-11-15 00:42:59.000,71.82.40.28,Mozilla/5.0 (Android 5.0.1; Mobile; rv:13.0) Gecko/13.0 Firefox/13.0,POST,/login,200,3799,651,CD,Normal
2023-11-15 00:45:23.000,27.151.11.93,"Mozilla/5.0 (Linux; Android 8.0.0) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/28.0.896.0 Safari/536.1",POST,/login,200,3890,508,LR,Normal
2023-11-15 00:48:38.000,97.178.107.228,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_9; rv:1.9.4.20) Gecko/4370-01-21 22:03:50 Firefox/3.6.20,POST,/login,200,3587,605,KP,Normal
2023-11-15 00:49:34.000,113.238.52.220,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/30.0.892.0 Safari/536.0",POST,/login,200,2126,742,BF,Normal
2023-11-15 00:51:05.000,5.2.158.210,"Mozilla/5.0 (iPad; CPU iPad OS 4_3_5 like Mac OS X) AppleWebKit/536.1 (KHTML, like Gecko) CriOS/28.0.815.0 Mobile/10P947 Safari/536.1",POST,/login,200,1760,494,NI,Normal
2023-11-15 00:54:30.000,142.113.168.114,"Mozilla/5.0 (iPhone; CPU iPhone OS 1_1_5 like Mac OS X) AppleWebKit/535.1 (KHTML, like Gecko) CriOS/39.0.857.0 Mobile/77J496 Safari/535.1",POST,/login,200,2529,666,PW,Normal
2023-11-15 00:54:45.000,46.208.129.177,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_2) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/17.0.807.0 Safari/533.2",POST,/login,403,3699,373,ME,Normal
2023-11-15 00:57:49.000,49.108.123.73,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_12_1; rv:1.9.5.20) Gecko/2750-02-03 11:01:45 Firefox/3.6.20,POST,/login,200,3358,103,NG,Normal
2023-11-15 01:00:13.000,146.114.41.15,"Mozilla/5.0 (Windows NT 5.01) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/45.0.800.0 Safari/536.1",POST,/login,200,3579,208,IQ,Normal
2023-11-15 01:02:55.000,6.77.226.57,"Mozilla/5.0 (Linux; Android 3.0) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/44.0.891.0 Safari/534.2",POST,/login,200,2314,256,RO,Normal
2023-11-15 01:06:16.000,192.111.153.73,"Mozilla/5.0 (Linux; Android 4.2.2) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/50.0.874.0 Safari/534.2",POST,/login,200,4689,643,LY,Normal
